size,event,conf_mean,fromUAV,fromPeers,peer_prop,peer_height,uav_height
100,recv,0.4545,673,47,0.06527777777777778,0.029668750000000004,0.42483125
100,depart,0.4885,796,45,0.0535077288941736,0.026138525564803804,0.46236147443519615
100,complete,0.8089999999999999,796,645,0.4476058292852186,0.36211311589174183,0.4468868841082581
400,recv,0.362,298,244,0.45018450184501846,0.16296678966789668,0.1990332103321033
400,depart,0.39649999999999996,401,229,0.3634920634920635,0.14412460317460316,0.2523753968253968
400,complete,0.8045,401,1020,0.7178043631245602,0.5774736101337087,0.2270263898662913
900,recv,0.4245,267,360,0.5741626794258373,0.24373205741626794,0.18076794258373205
900,depart,0.4505,387,322,0.4541607898448519,0.20459943582510579,0.24590056417489425
900,complete,0.804,387,1032,0.7272727272727273,0.5847272727272728,0.21927272727272726
1225,recv,0.41300000000000003,257,338,0.5680672268907563,0.23461176470588235,0.17838823529411768
1225,depart,0.44999999999999996,378,304,0.44574780058651026,0.2005865102639296,0.24941348973607033
1225,complete,0.804,380,1041,0.7325826882477129,0.5889964813511612,0.21500351864883885
